"collection","colid","area","lat","lon","elev","MAXCAP"
"usgs","11234760",2595.16998,37.316611,-119.329573,913,192422880
"usgs","11244000",130.794495,37.288834,-119.530139,972,56071533.84
"usgs","11246500",130.794495,37.150781,-119.460411,369,56071533.84
"usgs","11251000",4229.45367,36.984394,-119.724312,93,685198140
"usgs","11258000",611.23764,37.097447,-119.889601,119,144933900
"usgs","11276500",1191.3954,37.937421,-119.798233,1057,458854560
"usgs","11276600",1191.3954,37.879368,-119.947126,746,458854560
"usgs","11276900",1191.3954,37.881591,-119.970182,686,458854560
"usgs","11277300",303.02883,37.967699,-119.917403,1337,364123296
"usgs","11278000",204.60921,37.969088,-119.882124,1380,38731272
"usgs","11278300",507.63804,37.894368,-119.962682,724,364123296
"usgs","11278300",507.63804,37.894368,-119.962682,724,38731272
"usgs","11278400",1191.3954,37.890202,-119.969905,689,458854560
"usgs","11288000",NA,37.709098,-120.41325,244,458854560
"usgs","11288000",NA,37.709098,-120.41325,244,0
"usgs","11288000",NA,37.709098,-120.41325,244,0
"usgs","11288000",NA,37.709098,-120.41325,244,0
"usgs","11288000",NA,37.709098,-120.41325,244,0
"usgs","11288000",NA,37.709098,-120.41325,244,0
"usgs","11289650",3985.99461,37.666321,-120.442139,56,3120704400
"usgs","11292000",72.51972,38.297412,-119.741287,1945,22390128.96
