fips,name,state,farmvalue,valuesource,profit,profitsource,estprofit,estprofitsource,estprofit_changeirr,estprofitsource_changeirr,obscrop,toadd,esttoadd,esttoadd_changeirr
05103,Ouachita,AR,81.88,cott,118.24999999999994,corn,0.0,none,0.0,none,NA,118.24999999999994,0.0,0.0
05105,Perry,AR,0.0,corn,270.54,corn,0.0,none,0.0,none,soyb,168.48158999999998,Inf,Inf
05107,Phillips,AR,103.04,rice,-Inf,rice,0.0,none,0.0,none,soyb,-Inf,Inf,Inf
05109,Pike,AR,0.0,corn,270.54,corn,0.0,none,0.0,none,NA,270.54,0.0,0.0
05111,Poinsett,AR,103.04,rice,-Inf,rice,0.0,none,0.0,none,soyb,-Inf,Inf,Inf
05113,Polk,AR,0.0,corn,270.54,corn,0.0,none,0.0,none,NA,270.54,0.0,0.0
05115,Pope,AR,0.0,corn,270.54,corn,0.0,none,0.0,none,soyb,168.48158999999998,Inf,Inf
05117,Prairie,AR,103.04,rice,-Inf,rice,0.0,none,0.0,none,soyb,-Inf,Inf,Inf
05119,Pulaski,AR,0.0,corn,270.54,corn,0.0,none,0.0,none,soyb,168.48158999999998,Inf,Inf
05121,Randolph,AR,103.04,rice,-Inf,rice,0.0,none,0.0,none,rice,0.0,Inf,Inf
05123,St Francis,AR,103.04,rice,-Inf,rice,0.0,none,0.0,none,soyb,-Inf,Inf,Inf
05125,Saline,AR,0.0,corn,270.54,corn,0.0,none,0.0,none,NA,270.54,0.0,0.0
05127,Scott,AR,0.0,corn,270.54,corn,0.0,none,0.0,none,NA,270.54,0.0,0.0
05129,Searcy,AR,0.0,corn,270.54,corn,0.0,none,0.0,none,NA,270.54,0.0,0.0
05131,Sebastian,AR,0.0,corn,270.54,corn,0.0,none,0.0,none,soyb,168.48158999999998,Inf,Inf
05133,Sevier,AR,0.0,corn,270.54,corn,0.0,none,0.0,none,NA,270.54,0.0,0.0
05135,Sharp,AR,0.0,corn,270.54,corn,0.0,none,0.0,none,NA,270.54,0.0,0.0
05137,Stone,AR,0.0,corn,270.54,corn,0.0,none,0.0,none,NA,270.54,0.0,0.0
05139,Union,AR,81.88,cott,118.24999999999994,corn,0.0,none,0.0,none,NA,118.24999999999994,0.0,0.0
05141,Van Buren,AR,0.0,corn,270.54,corn,0.0,none,0.0,none,NA,270.54,0.0,0.0
05143,Washington,AR,0.0,corn,270.54,corn,0.0,none,0.0,none,NA,270.54,0.0,0.0
05145,White,AR,103.04,rice,-Inf,rice,0.0,none,0.0,none,soyb,-Inf,Inf,Inf
05147,Woodruff,AR,103.04,rice,-Inf,rice,0.0,none,0.0,none,soyb,-Inf,Inf,Inf
05149,Yell,AR,0.0,corn,270.54,corn,0.0,none,0.0,none,NA,270.54,0.0,0.0
06001,Alameda,CA,114.48,rice,-Inf,rice,0.0,none,0.0,none,NA,-Inf,0.0,0.0
06003,Alpine,CA,0.0,barl,-Inf,barl,0.0,none,0.0,none,NA,-Inf,0.0,0.0
06005,Amador,CA,0.0,barl,-Inf,barl,0.0,none,0.0,none,NA,-Inf,0.0,0.0
06007,Butte,CA,114.48,rice,-Inf,rice,0.0,none,0.0,none,rice,0.0,Inf,Inf
06009,Calaveras,CA,0.0,barl,-Inf,barl,0.0,none,0.0,none,NA,-Inf,0.0,0.0
06011,Colusa,CA,114.48,rice,-Inf,rice,0.0,none,0.0,none,rice,0.0,Inf,Inf
