node,outnode
reservoir.1173,junction.14162-dn
junction.131-dn,canal.02285000
junction.13059-dn,usgs.01300000
reservoir.513,usgs.04063000
junction.12644-dn,usgs.06763500
junction.12644-dn,usgs.06755960
usgs.01428500,usgs.01426500
usgs.04065106,reservoir.513
usgs.07151500,usgs.07187000
usgs.07151500,junction.7915-dn
junction.13782-dn,usgs.01428500
junction.18198-dn,usgs.01021200
junction.649-dn,usgs.08189200
junction.13364-dn,usgs.01208873
junction.5839-up,usgs.09386950
junction.3210-dn,reservoir.2241
junction.13442-dn,reservoir.996
junction.10357-dn,usgs.01483200
usgs.05495500,junction.12613-up
junction.216-dn,reservoir.2685
junction.22603-dn,junction.21872-dn
junction.22603-dn,junction.22020-dn
junction.22603-dn,canal.05018500
usgs.01054000,reservoir.293
junction.1186-dn,rivdis.376
usgs.05508000,usgs.05502500
usgs.05508000,junction.11146-dn
junction.6481-dn,usgs.02052000
junction.15455-dn,usgs.01102000
junction.788-dn,usgs.02310700
junction.5153-up,junction.4741-up
junction.4001-dn,usgs.02187500
junction.6879-up,junction.7536-up
junction.6879-up,junction.6079-dn
junction.1827-dn,junction.1827-up
junction.19314-dn,usgs.04061000
junction.2179-up,reservoir.2360
junction.17413-dn,reservoir.332
usgs.021973269,usgs.02197000
usgs.01618000,usgs.01617800
usgs.01618000,usgs.01616100
junction.4542-dn,usgs.11120550
junction.5165-dn,junction.5151-dn
junction.10983-dn,junction.11025-dn
junction.10983-dn,junction.11026-dn
junction.574-dn,usgs.02306500
junction.1053-up,junction.850-dn
reservoir.1881,junction.6591-dn
reservoir.521,usgs.01064500
junction.10020-dn,junction.9676-dn
junction.10020-dn,junction.12534-up
usgs.14048000,junction.19271-dn
junction.2373-dn,junction.2644-up
junction.18638-dn,junction.19452-dn
junction.10610-dn,usgs.01613900
junction.16502-dn,usgs.04280350
junction.9163-dn,usgs.01484525
junction.502-dn,usgs.02301719
junction.15509-dn,reservoir.688
junction.14418-dn,reservoir.800
usgs.07066500,usgs.07064440
usgs.06334500,usgs.06334000
junction.20405-dn,junction.20405-up
junction.9464-up,reservoir.1743
junction.13010-dn,usgs.01301000
junction.7210-up,junction.7112-up
junction.3930-up,reservoir.2363
junction.21664-dn,junction.22117-up
junction.21664-dn,junction.21548-dn
usgs.01477120,usgs.01467087
canal.09423560,junction.4984-up
junction.20460-dn,usgs.12091500
usgs.11046100,usgs.11046090
usgs.07040000,usgs.07039500
usgs.01529950,junction.14458-dn
junction.8038-dn,junction.8906-dn
junction.8038-dn,junction.9464-up
junction.20254-dn,usgs.12089500
usgs.04182950,junction.12576-up
reservoir.130,junction.21622-dn
usgs.06817500,junction.12483-up
junction.3427-dn,usgs.02197020
junction.10895-dn,usgs.01494850
junction.9389-dn,junction.9296-dn
junction.8357-dn,usgs.06917630
junction.8357-dn,junction.8654-dn
reservoir.1847,reservoir.1842
junction.18330-dn,reservoir.183
junction.9599-dn,usgs.01484100
junction.2644-up,junction.1844-up
junction.2644-up,canal.09526500
junction.2644-up,usgs.09444000
junction.4021-up,junction.4082-dn
junction.12576-up,usgs.04177720
junction.15600-up,junction.15742-up
junction.3639-dn,usgs.11047500
usgs.08025360,junction.2114-up
junction.1219-dn,junction.1078-dn
usgs.03237500,junction.9129-dn
junction.2323-up,junction.2221-up
junction.13644-dn,usgs.01118300
junction.1575-dn,usgs.02369800
junction.1257-dn,usgs.02326550
reservoir.567,junction.16765-up
junction.496-dn,junction.582-dn
junction.18797-dn,junction.19173-up
junction.137-up,junction.190-dn
reservoir.688,usgs.01100561
usgs.05383000,junction.17141-up
junction.943-dn,usgs.08117500
usgs.04024430,usgs.04024098
usgs.05466500,usgs.05438283
usgs.05466500,reservoir.1250
junction.9772-dn,usgs.06907700
reservoir.2360,usgs.07071500
reservoir.2360,usgs.07063000
reservoir.2360,reservoir.2208
reservoir.2360,junction.5136-dn
junction.7237-up,junction.12168-dn
junction.7237-up,junction.7074-dn
junction.1288-dn,usgs.02326000
junction.1392-up,usgs.02228500
junction.14240-dn,junction.14594-dn
junction.11146-dn,usgs.05501000
junction.3869-up,junction.4001-dn
junction.871-dn,usgs.02248000
junction.14351-dn,junction.14219-dn
junction.2212-dn,junction.2747-up
junction.7948-dn,junction.9071-up
junction.7948-dn,junction.8038-dn
usgs.02359170,junction.1600-up
usgs.10038000,junction.14221-dn
junction.17603-dn,usgs.14306500
usgs.09234500,junction.13497-up
junction.15613-dn,usgs.010965852
junction.12860-dn,usgs.01387420
reservoir.72,junction.22071-up
canal.09428500,reservoir.2152
junction.8730-dn,junction.9158-dn
junction.8730-dn,usgs.03213700
junction.19438-dn,junction.19207-dn
junction.17084-up,usgs.01054000
usgs.13317000,usgs.13286700
junction.13507-dn,usgs.11482500
junction.12102-up,usgs.01446500
reservoir.1392,junction.13312-up
junction.22020-dn,junction.22020-up
junction.10715-dn,usgs.01483000
junction.13103-dn,usgs.11481200
junction.9129-dn,usgs.03209200
junction.9129-dn,junction.8730-dn
reservoir.1865,junction.8261-dn
junction.14695-dn,junction.14651-dn
reservoir.1743,junction.9553-dn
junction.14477-dn,junction.14477-up
usgs.06763500,junction.13343-dn
junction.9706-dn,usgs.01646305
junction.9706-dn,junction.10231-dn
reservoir.42,reservoir.72
junction.3611-up,usgs.09489700
junction.1442-dn,junction.1442-up
junction.7503-dn,usgs.11162500
usgs.01151500,reservoir.567
usgs.04030000,reservoir.412
junction.17175-dn,usgs.14307620
junction.538-dn,canal.02301802
junction.8805-dn,usgs.11458500
junction.10988-dn,usgs.10310000
junction.553-dn,canal.02306654
junction.1827-up,usgs.02413210
junction.63-dn,canal.02290700
junction.17084-dn,junction.17084-up
junction.7074-dn,junction.6922-up
usgs.06483500,junction.16897-up
usgs.13286700,junction.17227-dn
junction.224-dn,canal.02293243
junction.13497-up,usgs.09217900
junction.5042-dn,usgs.11141000
junction.8668-up,usgs.03294550
usgs.13105000,junction.14546-up
junction.2165-up,junction.2179-up
junction.10126-dn,junction.10020-dn
junction.16588-dn,reservoir.521
junction.20083-dn,junction.18052-dn
junction.20083-dn,junction.18188-dn
junction.829-dn,usgs.02310747
junction.1562-dn,usgs.02376033
junction.12078-up,reservoir.1419
junction.16759-dn,junction.16677-dn
junction.12889-dn,junction.14647-up
junction.190-dn,junction.154-dn
junction.16212-up,usgs.01072500
junction.9676-dn,junction.9604-up
junction.9676-dn,reservoir.1583
junction.12961-up,usgs.01443500
junction.1180-dn,junction.1180-up
junction.6598-dn,usgs.07050500
junction.13833-dn,usgs.04182950
usgs.07068000,usgs.07068510
junction.9598-dn,usgs.01649500
junction.12987-dn,usgs.01332500
junction.12987-dn,usgs.01368000
junction.12987-dn,usgs.01334000
junction.9597-dn,usgs.01647850
junction.8443-dn,junction.14598-up
junction.4515-dn,canal.09423560
junction.940-dn,junction.3422-up
junction.10538-up,usgs.05508000
junction.6591-dn,usgs.02073000
junction.2558-dn,usgs.021973269
junction.4739-dn,usgs.11134500
junction.21209-dn,usgs.12048000
junction.16927-dn,usgs.13213000
junction.11025-dn,usgs.01477120
junction.13338-dn,usgs.01209700
usgs.05090000,junction.20868-dn
junction.582-dn,junction.582-up
junction.6921-dn,usgs.11152600
junction.4487-dn,usgs.11119745
junction.4486-dn,usgs.11119940
junction.1177-dn,junction.1177-up
junction.7743-dn,usgs.11162620
junction.3374-dn,canal.09527590
usgs.03085000,usgs.03078000
junction.12565-dn,usgs.01393500
usgs.03479000,usgs.03553500
junction.17818-dn,usgs.06187915
junction.14837-dn,usgs.01105600
junction.3702-dn,junction.3664-dn
junction.1487-up,usgs.02377570
junction.4333-dn,junction.4515-dn
junction.5336-up,junction.5369-dn
junction.5735-up,junction.7459-up
junction.5735-up,junction.6155-up
junction.13363-dn,usgs.01209761
