"FIPS","year_cal","month_num","calculated"
36105,2011,2,1.1705848241320781e7
36105,2011,3,1.2832921569354152e7
36105,2011,4,1.2760067483854754e7
36105,2011,5,1.4870991953296088e7
36105,2011,6,1.6026994656512128e7
36105,2011,7,1.8035868446746618e7
36105,2011,8,1.7421538169969883e7
36105,2011,9,1.5300901781150999e7
36105,2011,10,1.3813907390414974e7
36105,2011,11,1.2248050317957075e7
36105,2011,12,1.2720433869987393e7
36105,2012,1,2.499132275764689e7
36105,2012,2,2.2855714530252066e7
36105,2012,3,2.5056329616757344e7
36105,2012,4,2.4914081729529582e7
36105,2012,5,2.9035670022308525e7
36105,2012,6,3.129276982714287e7
36105,2012,7,3.521510376914897e7
36105,2012,8,3.401562149807902e7
36105,2012,9,2.9875070644684352e7
36105,2012,10,2.6971708273832884e7
36105,2012,11,2.3914366208100114e7
36105,2012,12,2.4836696943251804e7
36105,2013,1,2.7758441424140412e7
36105,2013,2,2.5386371867841605e7
36105,2013,3,2.783064604925305e7
36105,2013,4,2.767264802395398e7
36105,2013,5,3.2250591668994565e7
36105,2013,6,3.475760473623055e7
36105,2013,7,3.911423195564331e7
36105,2013,8,3.778193919612532e7
36105,2013,9,3.318293339550349e7
36105,2013,10,2.9958101517419964e7
36105,2013,11,2.6562240823362235e7
36105,2013,12,2.758669494824678e7
36105,2014,1,3.1017757972141467e7
36105,2014,2,2.8367166814441413e7
36105,2014,3,3.109844065716661e7
36105,2014,4,3.092189095706203e7
36105,2014,5,3.603736360994959e7
36105,2014,6,3.883874295846357e7
36105,2014,7,4.370691284602322e7
36105,2014,8,4.221818609327309e7
36105,2014,9,3.707917822692708e7
36105,2014,10,3.3475695842348665e7
36105,2014,11,2.9681102928937186e7
36105,2014,12,3.082584551782031e7
36107,2009,1,1.925908207838966e7
36107,2009,2,1.761331668463529e7
36107,2009,3,1.9309178363704663e7
36107,2009,4,1.919955776610109e7
36107,2009,5,2.2375780489232924e7
36107,2009,6,2.4115171029780477e7
36107,2009,7,2.7137842220917612e7
36107,2009,8,2.621348428540014e7
36107,2009,9,2.302264842974803e7
36107,2009,10,2.0785228076060385e7
36107,2009,11,1.8429146232907683e7
36107,2009,12,1.913992266935191e7
36107,2010,1,1.7983896596493464e7
36107,2010,2,1.644710088925794e7
36107,2010,3,1.803067589839926e7
36107,2010,4,1.7928313517672893e7
36107,2010,5,2.089423166412133e7
36107,2010,6,2.251845339466923e7
36107,2010,7,2.5340986988189034e7
36107,2010,8,2.4477832790972773e7
36107,2010,9,2.1498269079116512e7
36107,2010,10,1.940899316659737e7
36107,2010,11,1.7208912598496024e7
36107,2010,12,1.7872626989670474e7
36107,2011,1,1.0713884156666107e7
36107,2011,2,9.798340014636643e6
36107,2011,3,1.0741752867924497e7
36107,2011,4,1.0680770606198376e7
36107,2011,5,1.2447712673992418e7
36107,2011,6,1.3415340761290418e7
36107,2011,7,1.5096861659000983e7
36107,2011,8,1.4582638613472667e7
36107,2011,9,1.280756721696239e7
36107,2011,10,1.156288367588779e7
36107,2011,11,1.025218839828227e7
36107,2011,12,1.0647595426008495e7
36107,2012,1,1.998116304040187e7
36107,2012,2,1.8273692947849732e7
36107,2012,3,2.00331375862563e7
36107,2012,4,1.9919406982461788e7
36107,2012,5,2.3325160790433403e7
36107,2012,6,2.5159594887306023e7
36107,2012,7,2.8603721565383397e7
36107,2012,8,2.7659527248787217e7
36107,2012,9,2.412450872946172e7
36107,2012,10,2.178237907190248e7
36107,2012,11,1.925979978080248e7
36107,2012,12,2.0218013823559005e7
36107,2013,1,1.7718974204181436e7
36107,2013,2,1.5776111925006405e7
36107,2013,3,1.7332985964119524e7
36107,2013,4,1.7235165919258796e7
36107,2013,5,2.0124988921510875e7
36107,2013,6,2.1697008509730216e7
36107,2013,7,2.4485952928820454e7
36107,2013,8,2.3682021804232918e7
36107,2013,9,2.0679503830495507e7
36107,2013,10,1.8665590326853313e7
36107,2013,11,1.6521701552800689e7
36107,2013,12,1.7152621976902824e7
36107,2014,1,1.9634392140375793e7
36107,2014,2,1.7855865307870008e7
36107,2014,3,1.9652369121016286e7
36107,2014,4,1.9518700620965764e7
36107,2014,5,2.2834950018759754e7
36107,2014,6,2.464434584289382e7
36107,2014,7,2.7743064139803126e7
36107,2014,8,2.6718154127454005e7
36107,2014,9,2.3426008707172412e7
36107,2014,10,2.1147897978534065e7
36107,2014,11,1.8685791770833112e7
36107,2014,12,1.9417944635596767e7
36109,2009,1,4.504877668410581e7
36109,2009,2,4.1073307248336926e7
36109,2009,3,4.489925948918374e7
36109,2009,4,4.446774996820019e7
36109,2009,5,5.169754289044698e7
36109,2009,6,5.623528190555989e7
36109,2009,7,6.2699925164405614e7
36109,2009,8,6.023073862473108e7
36109,2009,9,5.301112538824409e7
36109,2009,10,4.802269223488846e7
36109,2009,11,4.297577787885109e7
36109,2009,12,4.477005179027637e7
36109,2010,1,4.299650027413946e7
36109,2010,2,3.932227779999932e7
36109,2010,3,4.291328439204915e7
36109,2010,4,4.26093476031939e7
36109,2010,5,4.854795654584461e7
36109,2010,6,5.240336374996561e7
36109,2010,7,5.855395529624075e7
36109,2010,8,5.6918241130020514e7
36109,2010,9,5.019720527179229e7
36109,2010,10,4.567576381278267e7
36109,2010,11,4.1079378132829994e7
36109,2010,12,4.2477000150315456e7
36109,2011,1,3.338759058638686e7
36109,2011,2,3.053448777783862e7
36109,2011,3,3.312210797874991e7
36109,2011,4,3.293406966856756e7
36109,2011,5,3.833829424037996e7
36109,2011,6,4.122759463314708e7
36109,2011,7,4.553918381539301e7
36109,2011,8,4.455012808985248e7
36109,2011,9,3.9092098377713814e7
36109,2011,10,3.5262066428995416e7
36109,2011,11,3.176972537945679e7
36109,2011,12,3.2995022086457815e7
36109,2012,1,4.890023169657976e7
36109,2012,2,4.460965447130393e7
36109,2012,3,4.8904802562316455e7
36109,2012,4,4.856898909649456e7
36109,2012,5,5.602475609490804e7
36109,2012,6,6.043473865134473e7
36109,2012,7,6.690947377551083e7
36109,2012,8,6.520784960546016e7
36109,2012,9,5.769678096810414e7
36109,2012,10,5.240236826809341e7
36109,2012,11,4.67335139667313e7
36109,2012,12,4.8597677157009475e7
36109,2013,1,4.126585685233206e7
36109,2013,2,3.669188813592306e7
36109,2013,3,3.9570405896073386e7
36109,2013,4,3.952138920118196e7
36109,2013,5,4.556886013506642e7
36109,2013,6,5.043809415618021e7
36109,2013,7,5.579421189942042e7
36109,2013,8,5.3517806293709956e7
36109,2013,9,4.659913704637111e7
36109,2013,10,4.285336693587989e7
36109,2013,11,3.8125594882324934e7
36109,2013,12,3.9177045590221584e7
36109,2014,1,4.668969931058094e7
36109,2014,2,4.247496119026026e7
36109,2014,3,4.570228731315015e7
36109,2014,4,4.5907301398293346e7
36109,2014,5,5.307774570888743e7
36109,2014,6,5.876044472067885e7
36109,2014,7,6.5765198601725616e7
36109,2014,8,6.307810549623339e7
36109,2014,9,5.3254054053973906e7
36109,2014,10,4.8164624896008186e7
36109,2014,11,4.315853801053828e7
36109,2014,12,4.481289995731344e7
36111,2009,1,4.921752369383892e7
36111,2009,2,4.501168995098908e7
36111,2009,3,4.9345547194617875e7
36111,2009,4,4.906540641023746e7
36111,2009,5,5.7182398512787424e7
36111,2009,6,6.16274958852265e7
36111,2009,7,6.935207955764396e7
36111,2009,8,6.698983776399336e7
36111,2009,9,5.883550108847099e7
36111,2009,10,5.311766423505918e7
36111,2009,11,4.709658215710754e7
36111,2009,12,4.8913006011542924e7
36111,2010,1,5.917402542427031e7
36111,2010,2,5.411736888913453e7
36111,2010,3,5.932794755040413e7
36111,2010,4,5.899113544257806e7
36111,2010,5,6.875016151696424e7
36111,2010,6,7.409448372558022e7
36111,2010,7,8.338171876541936e7
36111,2010,8,8.054160521510574e7
36111,2010,9,7.073767991490167e7
36111,2010,10,6.38631482858759e7
36111,2010,11,5.6624026176062614e7
36111,2010,12,5.880790507277895e7
36111,2011,1,2.549781723785078e7
36111,2011,2,2.3318927036566745e7
36111,2011,3,2.556414157885822e7
36111,2011,4,2.541901078021355e7
36111,2011,5,2.962413053470062e7
36111,2011,6,3.192697456057936e7
36111,2011,7,3.5928801713505425e7
36111,2011,8,3.470500975881885e7
