"fips","naics","year","MGwithdrawal","MG_min_of_min_withdrawal","MG_max_of_maxwithdrawl","fix_revenue2015dollar","hours","materials_2015dollar","labor_2015dollar","ln_fix_revenue","ln_MGwithdrawal","ln_hours","ln_materials","coef","y1","y2","m","b","y_hat","fix_revenue","diff"
36029,311,2009,"744.6","744.6","1058.5","2358700","7050.008","1412660","241592.4","7.765866","6.612847","8.860784","14.16098",1760.522156744741,2386.4368945676624,2425.3659426359036,0.12401735606320859,2294.0935712429973,2386.4368945676624,2358.7002387244406,1.0117592966617164
36029,311,2010,"784.7501","744.6","1058.5","2449182","6963.672","1486344","241391","7.803509","6.665365","8.848462","14.21183",1805.0348210114691,2446.7750526957257,2486.688374458136,0.12715298427018257,2352.0969406081476,2451.880257729472,2449.181093219351,1.0011020681637604
36029,311,2011,"773.8","744.6","1058.5","2508113","6876.024","1540119","238075.5","7.827286","6.651313","8.835795","14.24737",1833.8649440477147,2485.8550887094943,2526.405908410338,0.1291838792635982,2389.664772209819,2489.6272579839915,2508.113108954438,0.9926295784251323
36029,311,2012,"857.7499","744.6","1058.5","2570274","6791","1594915","236283.3","7.851768","6.754313","8.823354","14.28233",1862.6880172168767,2524.925568431769,2566.113730182855,0.13121427763964885,2427.2234173012866,2539.7724508252677,2570.2745474881976,0.9881327476503481
36029,311,2013,"846.8","744.6","1058.5","2626665","6708.6","1645610","234923.6","7.87347","6.741465","8.811146","14.31362",1888.066853931737,2559.3272895606515,2601.076633657897,0.13300205191859107,2460.2939617020684,2572.920099266731,2626.664317944896,0.9795389847454072
36029,311,2014,"850.45","744.6","1058.5","2676739","6626.2","1691885","233192.1","7.892354","6.745766","8.798787","14.34135",1909.6821660798519,2588.6274481529395,2630.8547547242165,0.13452471032582683,2488.460348844329,2602.8668887409285,2676.73755036197,0.9724027252462416
36029,324,2009,"1697.25","795.7","2127.95","51914.57","198.2841","43534.83","8379.744","3.9496","7.436765","5.289701","10.68132",48.69889968031831,66.21457855734826,69.27960039600278,0.002300635645452818,64.38396277426145,68.28871662350625,51.91459684237294,1.3154049299631405
36029,324,2010,"876.0001","795.7","2127.95","62535.74","196.8763","54451.72","8084.02","4.135738","6.775366","5.282575","10.90507",55.37763378815464,75.29547293381191,78.78084237845881,0.0026161527075600727,73.21380022440636,75.50555025784425,62.53572541015296,1.2073986471353153
36029,324,2011,"795.7","795.7","2127.95","72309.08","196.069","64599.8","7709.275","4.28095","6.679222","5.278467","11.07597",61.12172221116618,83.10555481702883,86.95244693621798,0.002887515195488197,80.80795897597888,83.10555481702883,72.30910103415617,1.1493097497889349
36029,324,2012,"992.8","795.7","2127.95","81159.29","195","73786.38","7372.914","4.396414","6.900529","5.273","11.20893",65.9403080959018,89.65725589640876,93.80742121201708,0.003115155050184515,87.17852702297694,90.27125295680013,81.15930892898228,1.1122723215372763
36029,324,2013,"1215.45","795.7","2127.95","89037.7","193.5126","82003.14","7034.558","4.48906","7.10287","5.265343","11.31451",69.94387942513981,95.10080369789873,99.50294664826427,0.0033042919499835202,92.47157859329684,96.48778024390431,89.03771108105329,1.083673188274899
36029,324,2014,"1040.25","795.7","2127.95","96521.97","192.0253","89827.92","6694.048","4.569771","6.947217","5.257627","11.40565",73.56260717913287,100.02109008460059,104.6509893018827,0.0034752480520038407,97.25583520962113,100.87096199571812,96.5220037029483,1.045056651601991
36029,325,2009,"2923.65","2923.65","5788.9","1304462","2963.184","543197.2","168728","7.173546","7.980588","7.99402","13.20523",841.4292465992735,1214.64724862943,1253.4211580966646,0.013532469930105479,1175.083042918277,1214.64724862943,1304.4620336320866,0.9311480267826727
36029,325,2010,"3175.5","2923.65","5788.9","1322512","3068.456","489869","166151.8","7.187288","8.06322","8.02893","13.10189",802.9285330112193,1159.0694492850353,1196.0692069871386,0.012913273781381506,1121.3155563940993,1162.3216572868762,1322.511686015459,0.8788743945157772
36029,325,2011,"3723","2923.65","5788.9","1318544","3176.752","428279.9","161134.5","7.184283","8.222285","8.063615","12.96753",752.2973439597548,1085.980672391728,1120.6472937684252,0.012098986607345721,1050.6074701971615,1095.6519973363097,1318.5435035791581,0.8309562743756166
36029,325,2012,"3657.3","2923.65","5788.9","1330322","3279","380605.7","157926.1","7.193176","8.20448","8.095294","12.84952",710.8096440004465,1026.0910015593847,1058.8458278223186,0.011431751596870737,992.6685610031936,1034.477906118429,1330.3216046600123,0.777614903414884
