"resid","storage","storagemax"
"reservoir.1277",6689.40502121637,7129.5144
"reservoir.1278",0,208704.816
"reservoir.1279",0,15048.456
"reservoir.128",2511.38263989705,16432.42056
"reservoir.1280",0,17885.46
"reservoir.1281",0,52669.596
"reservoir.1285",0,24669.6
"reservoir.1286",0,8297.61996
"reservoir.1287",1.27860544250907,108546.24
"reservoir.1288",0,50819.376
"reservoir.1289",0,15665.196
"reservoir.129",0,18810.57
"reservoir.1290",0,88440.516
"reservoir.1291",0,91277.52
"reservoir.1293",0,176765.0849
"reservoir.1294",0,289127.712
"reservoir.1295",0,13568.28
"reservoir.1296",0,16898.676
"reservoir.1297",0,2257268.4
"reservoir.1298",0,30596.4714
"reservoir.1299",0,250396.44
"reservoir.13",0,150484.56
"reservoir.130",1.46612542509331e-13,4933920
"reservoir.1301",0,62537.436
"reservoir.1302",0,34290.744
"reservoir.1303",0,61303.956
"reservoir.1304",2126.36623666667,11102.55348
"reservoir.1305",0,109162.98
"reservoir.1306",0,57470.30016
"reservoir.1307",0,108176.196
"reservoir.1308",34845.4109986888,198676.6236
"reservoir.1309",6851.49382507459,91968.2688
"reservoir.131",590.86655624166,150484.56
"reservoir.1310",64032.13600421,2402819.04
"reservoir.1311",94400.1012034343,114343.596
"reservoir.1312",0,46132.152
"reservoir.1313",0,65004.396
"reservoir.1314",0,28370.04
"reservoir.1315",0,9497.796
"reservoir.1316",0,157337.7749
"reservoir.1317",2211.49141554701,9238.7652
"reservoir.1318",886.286217044358,10125.63732
"reservoir.1319",0,20105.724
"reservoir.132",31312.6936274962,280493.352
"reservoir.1320",0,61674
"reservoir.1321",10460.4164733623,54612.327
"reservoir.1322",0,209533.7146
"reservoir.1323",0,18593.47752
"reservoir.1324",102.076529716462,40704.84
"reservoir.1325",0,430484.52
"reservoir.1326",921.757588651924,45515.412
"reservoir.1327",11677.8593722875,65497.788
"reservoir.1328",0,2346078.96
"reservoir.1329",0,11624.31552
"reservoir.133",0,197726.844
"reservoir.1330",0,1381497.6
"reservoir.1331",774.632495352937,9923.3466
"reservoir.1332",0,8387.664
"reservoir.1333",65.9722540512116,223876.62
"reservoir.1334",0,31145.37
"reservoir.1335",2.01716899300364,21228.1908
"reservoir.1336",0,709251
"reservoir.1337",0,456387.6
"reservoir.1338",0,25409.688
"reservoir.1339",0,11486.16576
"reservoir.134",0,11175.3288
"reservoir.1340",0,49770.918
"reservoir.1341",0,75982.368
"reservoir.1342",0,9497.796
"reservoir.1343",0,70481.0472
"reservoir.1344",999.428843553508,19893.56544
"reservoir.1345",0,8819.382
"reservoir.1346",0,11792.0688
"reservoir.1347",0,32124.75312
"reservoir.1348",2979.23060152124,9738.3246
"reservoir.1349",0,8196.4746
"reservoir.135",0,944845.68
"reservoir.1350",0,30960.348
"reservoir.1351",1.54231196081948e-13,12902.2008
"reservoir.1352",0,25533.036
"reservoir.1353",0,31823.784
"reservoir.1354",18.0271080356026,25903.08
"reservoir.1355",0,54889.86
"reservoir.1356",0,17268.72
"reservoir.1357",0,66607.92
"reservoir.1359",0,20229.072
"reservoir.136",0,279259.872
"reservoir.1360",0,21128.27892
"reservoir.1361",0,826045.5208
"reservoir.1362",3.60965953621628e-14,8852.68596
"reservoir.1363",892.593597824133,111136.548
"reservoir.1364",0,18008.808
"reservoir.1365",0,24052.86
"reservoir.1366",0,110149.764
"reservoir.1367",104.07880243415,22819.38
"reservoir.1368",0,8213.74332
"reservoir.1369",4.736951571734e-15,33550.656
"reservoir.137",0,10102.2012
"reservoir.1370",79.2731410523658,31219.3788
