fips,topcrop,Barley,Corn,Cotton,Rice,Soybean,Wheat
13205,Cotton,0,0,28530.362999999998,0,0,0
13207,NA,0,0,0,0,0,0
13209,Cotton,0,0,3156.5508,0,0,0
13211,Wheat,0,0,0,0,0,566.5604
13213,NA,0,0,0,0,0,0
13215,NA,0,0,0,0,0,0
13217,NA,0,0,0,0,0,0
13219,Wheat,0,0,0,0,0,323.7488
13221,NA,0,0,0,0,0,0
13223,NA,0,0,0,0,0,0
13225,NA,0,0,0,0,0,0
13227,NA,0,0,0,0,0,0
13229,Cotton,0,0,7769.9712,0,0,0
13231,NA,0,0,0,0,0,0
13233,NA,0,0,0,0,0,0
13235,Cotton,0,0,6394.0388,0,0,0
13237,NA,0,0,0,0,0,0
13239,NA,0,0,0,0,0,0
13241,NA,0,0,0,0,0,0
13243,Cotton,0,0,8619.8118,0,0,0
13245,NA,0,0,0,0,0,0
13247,NA,0,0,0,0,0,0
13249,NA,0,0,0,0,0,0
13251,Corn,0,15135.2564,0,0,0,0
13253,Cotton,0,0,17846.6526,0,0,0
13255,NA,0,0,0,0,0,0
13257,NA,0,0,0,0,0,0
13259,NA,0,0,0,0,0,0
13261,Corn,0,14730.5704,0,0,0,0
13263,NA,0,0,0,0,0,0
13265,NA,0,0,0,0,0,0
13267,Cotton,0,0,10157.6186,0,0,0
13269,NA,0,0,0,0,0,0
13271,Cotton,0,0,3682.6426,0,0,0
13273,Corn,0,18615.556,0,0,0,0
13275,Cotton,0,0,13718.8554,0,0,0
13277,NA,0,0,0,0,0,0
13279,NA,0,0,0,0,0,0
13281,NA,0,0,0,0,0,0
13283,NA,0,0,0,0,0,0
13285,NA,0,0,0,0,0,0
13287,Corn,0,12383.391599999999,0,0,0,0
13289,NA,0,0,0,0,0,0
13291,NA,0,0,0,0,0,0
13293,NA,0,0,0,0,0,0
13295,Cotton,0,0,1335.4638,0,0,0
13297,NA,0,0,0,0,0,0
13299,Corn,0,1618.744,0,0,0,0
13301,NA,0,0,0,0,0,0
13303,Soybean,0,0,0,0,4370.6088,0
13305,Cotton,0,0,4492.0145999999995,0,0,0
13307,Cotton,0,0,2994.6764,0,0,0
13309,Cotton,0,0,2468.5846,0,0,0
