"filepath","choice","costs","objective","exclcosts"
"all2050profits-pfixed-notime-histco-lybymc.csv","optimal",7.028244264308349,3.126335632877681e10,3.161701895099333e10
"all2070profits-pfixed-notime-histco-lybymc.csv","optimal",7.028244264308349,2.802549503640324e10,2.8374730326997852e10
"currentprofits-pfixed-lybymc.csv","optimal",7.0770106611818875,4.160432436283744e10,4.191852761980492e10
"all2050profits-pfixed-notime-histco-lybymc.csv","optimal",7.0770106611818875,3.1260902394174316e10,3.161701895099333e10
"all2070profits-pfixed-notime-histco-lybymc.csv","optimal",7.0770106611818875,2.8023072275916306e10,2.8374556652288826e10
"currentprofits-pfixed-lybymc.csv","optimal",7.126115430111747,4.160214422222889e10,4.191852761980492e10
"all2050profits-pfixed-notime-histco-lybymc.csv","optimal",7.126115430111747,3.12584314369673e10,3.1617009438667305e10
"all2070profits-pfixed-notime-histco-lybymc.csv","optimal",7.126115430111747,2.802063348233386e10,2.8374507653998108e10
"currentprofits-pfixed-lybymc.csv","optimal",7.175560918936925,4.159994960659478e10,4.191839759876476e10
"all2050profits-pfixed-notime-histco-lybymc.csv","optimal",7.175560918936925,3.1255944934809864e10,3.1616705492199436e10
"all2070profits-pfixed-notime-histco-lybymc.csv","optimal",7.175560918936925,2.8018178079867916e10,2.8374507653998108e10
"currentprofits-pfixed-lybymc.csv","optimal",7.225349491787214,4.159774004047992e10,4.191837891232611e10
"all2050profits-pfixed-notime-histco-lybymc.csv","optimal",7.225349491787214,3.1253443519678085e10,3.161621018200326e10
"all2070profits-pfixed-notime-histco-lybymc.csv","optimal",7.225349491787214,2.8015705640268867e10,2.8374507653998108e10
"currentprofits-pfixed-lybymc.csv","optimal",7.275483529196228,4.159551600443648e10,4.1918267199513596e10
"all2050profits-pfixed-notime-histco-lybymc.csv","optimal",7.275483529196228,3.125092641549644e10,3.161621018200326e10
"all2070profits-pfixed-notime-histco-lybymc.csv","optimal",7.275483529196228,2.801321626241142e10,2.83742216864557e10
"currentprofits-pfixed-lybymc.csv","optimal",7.325965428215229,4.159327655283548e10,4.1918267199513596e10
"all2050profits-pfixed-notime-histco-lybymc.csv","optimal",7.325965428215229,3.1248391846056576e10,3.1616210182003254e10
"all2070profits-pfixed-notime-histco-lybymc.csv","optimal",7.325965428215229,2.8010711565273323e10,2.8374105359591034e10
"currentprofits-pfixed-lybymc.csv","optimal",7.376797602527732,4.159102286077857e10,4.1917864289966034e10
"all2050profits-pfixed-notime-histco-lybymc.csv","optimal",7.376797602527732,3.1245840044074223e10,3.1616122469946095e10
"all2070profits-pfixed-notime-histco-lybymc.csv","optimal",7.376797602527732,2.800819164942462e10,2.837383643238544e10
"currentprofits-pfixed-lybymc.csv","optimal",7.427982482564916,4.1588755625054306e10,4.191774554824939e10
"all2050profits-pfixed-notime-histco-lybymc.csv","optimal",7.427982482564916,3.124327079077903e10,3.1616122469946095e10
"all2070profits-pfixed-notime-histco-lybymc.csv","optimal",7.427982482564916,2.8005654575024582e10,2.837383643238544e10
"currentprofits-pfixed-lybymc.csv","optimal",7.479522515621822,4.158647301241928e10,4.191749868383381e10
"all2050profits-pfixed-notime-histco-lybymc.csv","optimal",7.479522515621822,3.1240683747356262e10,3.161610676725844e10
"all2070profits-pfixed-notime-histco-lybymc.csv","optimal",7.479522515621822,2.8003099896800247e10,2.837383643238544e10
"currentprofits-pfixed-lybymc.csv","optimal",7.531420165974372,4.158417797425725e10,4.191701285316673e10
"all2050profits-pfixed-notime-histco-lybymc.csv","optimal",7.531420165974372,3.123807882537352e10,3.161610676725844e10
"all2070profits-pfixed-notime-histco-lybymc.csv","optimal",7.531420165974372,2.800052749260506e10,2.837383643238544e10
"currentprofits-pfixed-lybymc.csv","optimal",7.58367791499719,4.158186855789437e10,4.191700886566017e10
"all2050profits-pfixed-notime-histco-lybymc.csv","optimal",7.58367791499719,3.1235455828797222e10,3.161610676725844e10
"all2070profits-pfixed-notime-histco-lybymc.csv","optimal",7.58367791499719,2.7997937488967323e10,2.8373784508766777e10
"currentprofits-pfixed-lybymc.csv","optimal",7.636298261282244,4.157954314280589e10,4.191700886566017e10
"all2050profits-pfixed-notime-histco-lybymc.csv","optimal",7.636298261282244,3.123281468637961e10,3.1616098786636078e10
"all2070profits-pfixed-notime-histco-lybymc.csv","optimal",7.636298261282244,2.79953296421844e10,2.8373773709885143e10
"currentprofits-pfixed-lybymc.csv","optimal",7.689283720758311,4.15772016333163e10,4.191699148068258e10
"all2050profits-pfixed-notime-histco-lybymc.csv","optimal",7.689283720758311,3.123015569584671e10,3.161601835784314e10
"all2070profits-pfixed-notime-histco-lybymc.csv","optimal",7.689283720758311,2.7992703812061764e10,2.837376256139882e10
"currentprofits-pfixed-lybymc.csv","optimal",7.742636826811271,4.157484395678622e10,4.191699148068258e10
"all2050profits-pfixed-notime-histco-lybymc.csv","optimal",7.742636826811271,3.1227478597871094e10,3.161596065195005e10
"all2070profits-pfixed-notime-histco-lybymc.csv","optimal",7.742636826811271,2.7990059785829422e10,2.837376256139882e10
"currentprofits-pfixed-lybymc.csv","optimal",7.796360130405233,4.157246998901935e10,4.1916934757094154e10
"all2050profits-pfixed-notime-histco-lybymc.csv","optimal",7.796360130405233,3.1224783064062687e10,3.161596065195005e10
"all2070profits-pfixed-notime-histco-lybymc.csv","optimal",7.796360130405233,2.798739742284055e10,2.837375752244154e10
"currentprofits-pfixed-lybymc.csv","optimal",7.850456200204509,4.157007987493724e10,4.1916934757094154e10
"all2050profits-pfixed-notime-histco-lybymc.csv","optimal",7.850456200204509,3.1222069063931023e10,3.1615865579850803e10
"all2070profits-pfixed-notime-histco-lybymc.csv","optimal",7.850456200204509,2.7984716631013035e10,2.8373751187022755e10
"currentprofits-pfixed-lybymc.csv","optimal",7.904927622696424,4.156767320538011e10,4.1916927108107574e10
"all2050profits-pfixed-notime-histco-lybymc.csv","optimal",7.904927622696424,3.1219339348792595e10,3.1615431608264675e10
"all2070profits-pfixed-notime-histco-lybymc.csv","optimal",7.904927622696424,2.7982017427828472e10,2.8373704965557396e10
"currentprofits-pfixed-lybymc.csv","optimal",7.9597770023149845,4.1565249861257675e10,4.1916927108107574e10
"all2050profits-pfixed-notime-histco-lybymc.csv","optimal",7.9597770023149845,3.1216593275395046e10,3.161484052614597e10
"all2070profits-pfixed-notime-histco-lybymc.csv","optimal",7.9597770023149845,2.79792997098617e10,2.8373681508233448e10
"currentprofits-pfixed-lybymc.csv","optimal",8.015006961565406,4.1562809718368e10,4.191691414978804e10
"all2050profits-pfixed-notime-histco-lybymc.csv","optimal",8.015006961565406,3.1213830151337543e10,3.161481604193332e10
"all2070profits-pfixed-notime-histco-lybymc.csv","optimal",8.015006961565406,2.7976563239901947e10,2.8373681508233448e10
"currentprofits-pfixed-lybymc.csv","optimal",8.070620141149504,4.156035271821438e10,4.191691414978804e10
"all2050profits-pfixed-notime-histco-lybymc.csv","optimal",8.070620141149504,3.121104785801553e10,3.161481604193332e10
"all2070profits-pfixed-notime-histco-lybymc.csv","optimal",8.070620141149504,2.7973808780753456e10,2.8373316706899204e10
"currentprofits-pfixed-lybymc.csv","optimal",8.126619200091943,4.155787867522379e10,4.1916908893203285e10
"all2050profits-pfixed-notime-histco-lybymc.csv","optimal",8.126619200091943,3.120824625938564e10,3.161481604193332e10
"all2070profits-pfixed-notime-histco-lybymc.csv","optimal",8.126619200091943,2.7971036742482094e10,2.8373316706899204e10
"currentprofits-pfixed-lybymc.csv","optimal",8.18300681586739,4.155539079238159e10,4.1916040589220695e10
"all2050profits-pfixed-notime-histco-lybymc.csv","optimal",8.18300681586739,3.1205426011956493e10,3.1614309834350395e10
"all2070profits-pfixed-notime-histco-lybymc.csv","optimal",8.18300681586739,2.7968245470058857e10,2.83733167068992e10
"currentprofits-pfixed-lybymc.csv","optimal",8.239785684528515,4.155288837634927e10,4.1916040589220695e10
"all2050profits-pfixed-notime-histco-lybymc.csv","optimal",8.239785684528515,3.1202589008934963e10,3.1614294586669754e10
"all2070profits-pfixed-notime-histco-lybymc.csv","optimal",8.239785684528515,2.7965434888883762e10,2.837330209384411e10
"currentprofits-pfixed-lybymc.csv","optimal",8.296958520834906,4.155037075957593e10,4.191537726302423e10
"all2050profits-pfixed-notime-histco-lybymc.csv","optimal",8.296958520834906,3.1199732363877842e10,3.161429024993138e10
"all2070profits-pfixed-notime-histco-lybymc.csv","optimal",8.296958520834906,2.7962604954352055e10,2.837324176160558e10
"currentprofits-pfixed-lybymc.csv","optimal",8.354528058382865,4.1547838113962074e10,4.191537726302423e10
"all2050profits-pfixed-notime-histco-lybymc.csv","optimal",8.354528058382865,3.1196856077026917e10,3.161416769860955e10
"all2070profits-pfixed-notime-histco-lybymc.csv","optimal",8.354528058382865,2.7959758167196842e10,2.83724131918251e10
"currentprofits-pfixed-lybymc.csv","optimal",8.412497049736116,4.1545288046775185e10,4.191530115554246e10
"all2050profits-pfixed-notime-histco-lybymc.csv","optimal",8.412497049736116,3.1193960505474064e10,3.161416769860955e10
"all2070profits-pfixed-notime-histco-lybymc.csv","optimal",8.412497049736116,2.7956894906054173e10,2.83724131918251e10
"currentprofits-pfixed-lybymc.csv","optimal",8.470868266557403,4.154272066217211e10,4.191530115554246e10
"all2050profits-pfixed-notime-histco-lybymc.csv","optimal",8.470868266557403,3.1191045134825172e10,3.1614049380571243e10
"all2070profits-pfixed-notime-histco-lybymc.csv","optimal",8.470868266557403,2.795401775673053e10,2.837152170941599e10
"currentprofits-pfixed-lybymc.csv","optimal",8.529644499741021,4.154013554090085e10,4.191528742569898e10
"all2050profits-pfixed-notime-histco-lybymc.csv","optimal",8.529644499741021,3.1188112153327732e10,3.1613553025725895e10
"all2070profits-pfixed-notime-histco-lybymc.csv","optimal",8.529644499741021,2.7951120850663017e10,2.837152170941599e10
"currentprofits-pfixed-lybymc.csv","optimal",8.58882855954625,4.1537532500224686e10,4.191528742569898e10
"all2050profits-pfixed-notime-histco-lybymc.csv","optimal",8.58882855954625,3.1185160280560974e10,3.161353644664997e10
"all2070profits-pfixed-notime-histco-lybymc.csv","optimal",8.58882855954625,2.794820387821488e10,2.8371512706574432e10
"currentprofits-pfixed-lybymc.csv","optimal",8.648423275731721,4.153491141718476e10,4.19152783451462e10
"all2050profits-pfixed-notime-histco-lybymc.csv","optimal",8.648423275731721,3.1182187936211372e10,3.161353644664997e10
"all2070profits-pfixed-notime-histco-lybymc.csv","optimal",8.648423275731721,2.7945266781652206e10,2.8371421096701656e10
"currentprofits-pfixed-lybymc.csv","optimal",8.708431497690723,4.153227219124624e10,4.19152783451462e10
"all2050profits-pfixed-notime-histco-lybymc.csv","optimal",8.708431497690723,3.117919655080961e10,3.161289451427545e10
"all2070profits-pfixed-notime-histco-lybymc.csv","optimal",8.708431497690723,2.794230985390813e10,2.8371421096701656e10
"currentprofits-pfixed-lybymc.csv","optimal",8.768856094587429,4.152961465269125e10,4.19152783451462e10
"all2050profits-pfixed-notime-histco-lybymc.csv","optimal",8.768856094587429,3.117618734453946e10,3.161285873714933e10
"all2070profits-pfixed-notime-histco-lybymc.csv","optimal",8.768856094587429,2.7939332409132156e10,2.8371421096701656e10
"currentprofits-pfixed-lybymc.csv","optimal",8.829699955494089,4.1526940485598785e10,4.191478204440929e10
