fips,naics,year,MGwithdrawal,MG_min_of_min_withdrawal,MG_max_of_maxwithdrawl,fix_revenue2015dollar,hours,materials_2015dollar,labor_2015dollar,ln_fix_revenue,ln_MGwithdrawal,ln_hours,ln_materials
36005,333,2010,0,.,.,123514.7,661.696,57743.91,25667.9,4.81636,.,6.494806,10.96377
36005,333,2011,0,.,.,120777,602.232,45485.39,24842.57,4.793946,.,6.400643,10.72515
36005,333,2012,0,.,.,119363.3,546,35480.59,24219.26,4.782172,.,6.302619,10.47674
36005,333,2013,0,.,.,118674.4,493,27195.97,23672.37,4.776384,.,6.200509,10.21082
36005,333,2014,0,.,.,117797.8,440,19113.48,23100.38,4.76897,.,6.086775,9.85815
36005,335,2009,0,.,.,27091.75,122.2996,13710.23,4150.618,3.299229,.,4.806474,9.525897
36005,335,2010,0,.,.,23222.15,109.8664,12960.38,3897.633,3.145107,.,4.699265,9.469652
36005,335,2011,0,.,.,19281.66,98.94824,12128.77,3652.641,2.959154,.,4.594597,9.403336
36005,335,2012,0,.,.,15535.34,85,11305.03,3348.452,2.743118,.,4.442651,9.333003
36005,335,2013,0,.,.,13390.79,68.02166,10422.9,2967.895,2.594567,.,4.219826,9.25176
36005,335,2014,0,.,.,12142.67,51.04332,9549.063,2593.603,2.496725,.,3.932675,9.164198
36007,311,2009,0,.,.,201844.2,736.2838,99534.56,30437.36,5.307496,.,6.601615,11.50826
36007,311,2010,0,.,.,205126.1,700.8558,101125.2,27193.78,5.323625,.,6.552302,11.52411
36007,311,2011,0,.,.,205825,664.1487,101398.6,23759.18,5.327026,.,6.498506,11.52681
36007,311,2012,0,.,.,207239.2,630,102115.7,20599.06,5.333874,.,6.44572,11.53386
36007,311,2013,0,.,.,208525.2,598.4097,102855.4,17535.13,5.34006,.,6.394276,11.54108
36007,311,2014,0,.,.,209406,566.8193,103392,14532.83,5.344275,.,6.340041,11.54628
36007,312,2009,0,.,.,2817.943,10.65042,1383.366,533.3622,1.036007,.,2.365599,7.232275
36007,312,2010,0,.,.,2887.382,10.75049,1419.355,551.1337,1.06035,.,2.374951,7.257958
36007,312,2011,0,.,.,2898.12,10.78637,1426.495,557.7139,1.064062,.,2.378283,7.262976
36007,312,2012,0,.,.,2960.56,10.95063,1458.795,573.5435,1.085379,.,2.393397,7.285366
36007,312,2013,0,.,.,3061.041,11.24328,1509.583,596.1169,1.118755,.,2.419771,7.319589
36007,312,2014,0,.,.,3153.111,11.53593,1556.185,616.9617,1.14839,.,2.445467,7.349993
36007,322,2009,0,.,.,31366.39,170.1588,15500.76,5735.882,3.445737,.,5.136732,9.648644
36007,322,2010,0,.,.,32281.65,203.1059,15936.2,6030.415,3.474499,.,5.313727,9.676349
36007,322,2011,0,.,.,32901.33,237.5907,16215.57,6287.311,3.493513,.,5.470549,9.693727
36007,322,2012,0,.,.,33359.41,269,16437.62,6462.655,3.50734,.,5.594711,9.707328
36007,322,2013,0,.,.,33543.52,297.3339,16545.46,6540.026,3.512844,.,5.694856,9.713867
36007,322,2014,0,.,.,33663.12,325.6678,16620.98,6603.571,3.516403,.,5.785878,9.718421
36007,324,2009,0,.,.,23026.7,87.06892,12382.23,4247.707,3.136654,.,4.4667,9.424017
36007,324,2010,0,.,.,32712.9,119.9074,18062.63,6197.561,3.48777,.,4.78672,9.8016
36007,324,2011,0,.,.,41969.9,154.1161,23512.16,8080.816,3.736953,.,5.037706,10.06527
36007,324,2012,0,.,.,50173.69,185.5844,28324.36,9720.053,3.915491,.,5.22351,10.25148
36007,324,2013,0,.,.,57392.46,214.3124,32544.94,11132.27,4.049913,.,5.367435,10.39038
36007,324,2014,0,.,.,64292.61,243.0405,36581,12482.32,4.163445,.,5.493228,10.50728
36007,325,2009,0,.,.,7251.049,31.71957,3734.255,1076.283,1.981146,.,3.456934,8.225304
36007,325,2010,0,.,.,11263.88,44.00822,5656.033,1966.698,2.421602,.,3.784377,8.640478
36007,325,2011,0,.,.,15635.5,58.48385,7736.63,2954.905,2.749544,.,4.068751,8.953721
36007,325,2012,0,.,.,18542.45,68.58553,9136.668,3592.193,2.920063,.,4.228082,9.120051
36007,325,2013,0,.,.,20075.64,74.31326,9897.511,3902.299,2.999507,.,4.30829,9.200039
36007,325,2014,0,.,.,21527.3,80.041,10618.01,4196.192,3.069322,.,4.382539,9.270307
36007,326,2009,0,.,.,85322.94,330.0754,42072.24,15772.27,4.446444,.,5.799321,10.64714
36007,326,2010,0,.,.,86698.61,328.0197,42739.79,16299.32,4.462438,.,5.793074,10.66289
36007,326,2011,0,.,.,86973.18,325.8553,42846.34,16651.06,4.4656,.,5.786453,10.66538
36007,326,2012,0,.,.,87570.23,323.9081,43149.64,16964.81,4.472441,.,5.78046,10.67243
36007,326,2013,0,.,.,88132.03,322.1782,43471.21,17182.57,4.478836,.,5.775105,10.67985
36007,326,2014,0,.,.,88522.02,320.4483,43706.68,17363.57,4.483252,.,5.769721,10.68526
36007,327,2009,0,.,.,54113.14,208.0478,26661.3,10055.17,3.991077,.,5.337768,10.19097
36007,327,2010,0,.,.,55727.77,209.7816,27457.79,10515.26,4.020479,.,5.346067,10.2204
36007,327,2011,40.15,40.15,131.4,56547.46,211.3254,27853.46,10841.29,4.03508,3.692622,5.353399,10.23471
36007,327,2012,73,40.15,131.4,57653,213.2491,28408.13,11169.01,4.054442,4.29046,5.362461,10.25443
36007,327,2013,73,40.15,131.4,58821.74,215.5526,29011.16,11461.5,4.074512,4.29046,5.373205,10.27544
36007,327,2014,73,40.15,131.4,59851.86,217.8561,29545.02,11725.03,4.091873,4.29046,5.383835,10.29367
36007,331,2009,0,.,.,.,.,.,.,.,.,.,.
36007,331,2010,0,.,.,.,.,.,.,.,.,.,.
36007,331,2011,0,.,.,36.17083,1.670532,93.93785,.,-3.319502,.,0.5131423,4.542634
36007,331,2012,0,.,.,2960.56,10.95063,1458.795,573.5435,1.085379,.,2.393397,7.285366
36007,331,2013,0,.,.,3061.041,11.24328,1509.583,596.1169,1.118755,.,2.419771,7.319589
36007,331,2014,0,.,.,3153.111,11.53593,1556.185,616.9617,1.14839,.,2.445467,7.349993
36007,332,2009,0,.,.,289383.6,1864.688,127805.3,58671.08,5.667753,.,7.530849,11.75826
36007,332,2010,0,.,.,259238.8,1917.792,104209.9,57324.71,5.557749,.,7.55893,11.55416
36007,332,2011,0,.,.,225896,1977.064,79513.54,55317.09,5.420075,.,7.589368,11.28368
36007,332,2012,0,.,.,197821.9,2024,58071.46,53685,5.287367,.,7.612831,10.96943
36007,332,2013,0,.,.,173191.8,2058.6,38913.1,52148.45,5.154399,.,7.629781,10.56909
36007,332,2014,0,.,.,149000.4,2093.2,20264.36,50566.63,5.003949,.,7.646449,9.916618
36007,333,2009,0,.,.,386674.4,1409.806,190202.5,71663.48,5.957583,.,7.251207,12.15584
36007,333,2010,0,.,.,335600,1122.204,165149,62885.93,5.81592,.,7.02305,12.0146
36007,333,2011,0,.,.,279481.8,818.7464,137562,53257.91,5.632937,.,6.707774,11.83183
36007,333,2012,0,.,.,233572.5,547,115091.3,45249.57,5.453493,.,6.304449,11.65348
36007,333,2013,0,.,.,195147.9,306.9648,96392.84,38377.9,5.273757,.,5.726733,11.47619
36007,333,2014,0,.,.,157539.5,66.9296,78089.14,31646.1,5.059676,.,4.203641,11.26561
36007,335,2009,0,.,.,248132.5,787.7736,140365.1,39558.1,5.513963,.,6.669211,11.852
36007,335,2010,0,.,.,222908.8,736.5103,121708.4,35517.21,5.406763,.,6.601923,11.70938
36007,335,2011,0,.,.,194017.9,688.2109,100932.7,30972.83,5.267951,.,6.534095,11.52221
36007,335,2012,0,.,.,171400.8,633.9839,84456.59,27269.32,5.144005,.,6.452024,11.34399
36007,335,2013,0,.,.,153409.4,573.8294,71259.09,24151.97,5.03311,.,6.352332,11.17408
36007,335,2014,0,.,.,135691.2,513.6749,58334.52,21086.22,4.910381,.,6.24159,10.97395
36009,311,2009,0,.,.,63715.22,305.9892,29817.73,10439.63,4.154423,.,5.72355,10.30286
36009,311,2010,0,.,.,62739.38,239.9928,32668.27,8196.195,4.138989,.,5.480609,10.39416
36009,311,2011,0,.,.,60867.52,170.8364,35055.42,5862.015,4.1087,.,5.140707,10.46469
36009,311,2012,0,.,.,59686,108,37355.18,3842.941,4.089097,.,4.682131,10.52823
36009,311,2013,0,.,.,58881.71,51.48348,39479.78,2053.56,4.075531,.,3.941261,10.58354
36009,311,2014,0,.,.,57998.21,.,41470.92,314.5533,4.060412,.,.,10.63275
36009,312,2009,0,.,.,17917.03,79.27476,7983.938,3399.816,2.885751,.,4.37292,8.985188
36009,312,2010,0,.,.,21166.61,80.32767,9807.787,3820.519,3.052425,.,4.386114,9.190932
36009,312,2011,0,.,.,23994.05,80.91666,11436.98,4164.53,3.177806,.,4.39342,9.344607
36009,312,2012,0,.,.,26824.7,82.43347,13024.03,4531.862,3.289323,.,4.411992,9.474551
