FIPS,year_cal,month_num,wateruse_perconnection,tot_maxwithdraw_fips,ps_w_total,ps_gw_total,ps_sw_total,cnty_avg_p,state_yr_avg_p,predict_accounts,name_county,median_age,college_more,average_household_size,median_household_income,median_year_structure_built,owner_occupied_housing_units,total_pop,unemployment,housing_density,precip_monthly_avg_dailytot,precip_monthly_total,rainydays_month,temp_monthly_dailymax,temp_monthly_dailymean,annual_avg_dailymax,annual_avg_dailymean,precip_annual_total,precip_annual_avg_monthly_total
36001,2013,13,165685.5,58.82,41.16818,10.26719,30.90099,0.002318,0.0039663,90692.19,Albany,37.6,0.6652008,2.39,59772.11,1958.5,0.5948167,307084,0.0696796,263.7683,.,.,.,.,.,13.332006,9.0399922,1046.466,87.20548
36001,2014,1,13331.04,.,3.322774,0.7714522,2.551322,0.0027512,0.0038621,.,.,37.3,0.6707991,2.43,59533.07,1959,0.6014681,308044,0.0716875,263.8451,1.9598527,60.75543,10,-2.4903005,-6.4025605,12.93271,8.4243319,1064.345,88.6954
36001,2014,2,12822.56,.,3.196036,0.7420274,2.454009,0.0027159,0.0038621,.,.,37.3,0.6707991,2.43,59533.07,1959,0.6014681,308044,0.0716875,263.8451,3.1094836,87.06554,8,-0.8810682,-4.145745,12.93271,8.4243319,1064.345,88.6954
36001,2014,3,13641.37,.,3.400123,0.7894105,2.610713,0.0027703,0.0038621,.,.,37.3,0.6707991,2.43,59533.07,1959,0.6014681,308044,0.0716875,263.8451,2.4835857,76.99116,7,0.94178998,-3.6426787,12.93271,8.4243319,1064.345,88.6954
36001,2014,4,13461.95,.,3.355405,0.7790281,2.576376,0.0026784,0.0038621,.,.,37.3,0.6707991,2.43,59533.07,1959,0.6014681,308044,0.0716875,263.8451,1.9416397,58.24919,9,13.349909,7.2403076,12.93271,8.4243319,1064.345,88.6954
36001,2014,5,15364.44,.,3.829601,0.8891228,2.940478,0.0027092,0.0038621,.,.,37.3,0.6707991,2.43,59533.07,1959,0.6014681,308044,0.0716875,263.8451,2.8839775,89.40331,11,20.288145,14.59336,12.93271,8.4243319,1064.345,88.6954
36001,2014,6,16479.92,.,4.107635,0.9536743,3.15396,0.0027756,0.0038621,.,.,37.3,0.6707991,2.43,59533.07,1959,0.6014681,308044,0.0716875,263.8451,4.7045096,141.1353,9,25.064915,19.974947,12.93271,8.4243319,1064.345,88.6954
36001,2014,7,18077.46,.,4.505825,1.046123,3.459703,0.0028302,0.0038621,.,.,37.3,0.6707991,2.43,59533.07,1959,0.6014681,308044,0.0716875,263.8451,5.5018408,170.5571,12,26.458209,21.622415,12.93271,8.4243319,1064.345,88.6954
36001,2014,8,17138.08,.,4.271682,0.9917613,3.279921,0.0027441,0.0038621,.,.,37.3,0.6707991,2.43,59533.07,1959,0.6014681,308044,0.0716875,263.8451,1.8367265,56.93852,7,24.804787,20.028699,12.93271,8.4243319,1064.345,88.6954
36001,2014,9,15780.8,.,3.933378,0.9132169,3.020161,0.0027027,0.0038621,.,.,37.3,0.6707991,2.43,59533.07,1959,0.6014681,308044,0.0716875,263.8451,0.93243194,27.97296,4,22.973678,17.287239,12.93271,8.4243319,1064.345,88.6954
36001,2014,10,13532.14,.,3.372898,0.7830896,2.589808,0.0025562,0.0038621,.,.,37.3,0.6707991,2.43,59533.07,1959,0.6014681,308044,0.0716875,263.8451,3.3511387,103.8853,13,15.89477,11.631954,12.93271,8.4243319,1064.345,88.6954
36001,2014,11,13297.06,.,3.314305,0.7694859,2.544819,0.0025501,0.0038621,.,.,37.3,0.6707991,2.43,59533.07,1959,0.6014681,308044,0.0716875,263.8451,2.0938693,62.81608,10,6.2777781,2.5824483,12.93271,8.4243319,1064.345,88.6954
36001,2014,12,13176.99,.,3.284377,0.7625376,2.52184,0.0025556,0.0038621,.,.,37.3,0.6707991,2.43,59533.07,1959,0.6014681,308044,0.0716875,263.8451,4.147579,128.575,12,1.6871356,-0.46300305,12.93271,8.4243319,1064.345,88.6954
36001,2014,13,176103.8,55.62606,43.89404,10.19093,33.70311,0.0022861,0.0038621,90976.59,Albany,37.3,0.6707991,2.43,59533.07,1959,0.6014681,308044,0.0716875,263.8451,.,.,.,.,.,12.93271,8.4243319,1064.345,88.6954
36003,2009,1,8720.215,.,0.2045896,0.1275854,0.0770042,0.0031822,0.0031822,.,.,37.46875,0.4814816,2.39625,44472.46,1961.68,0.7515241,49042.56,0.0856217,25.3387,1.7115126,53.05689,13,-4.9782431,-8.9853173,11.848034,7.2244797,931.0548,77.5879
36003,2009,2,8216.186,.,0.1927643,0.120211,0.0725534,0.0031822,0.0031822,.,.,37.46875,0.4814816,2.39625,44472.46,1961.68,0.7515241,49042.56,0.0856217,25.3387,1.3102724,36.68763,5,0.54958823,-3.4835386,11.848034,7.2244797,931.0548,77.5879
36003,2009,3,8800.053,.,0.2064627,0.1287535,0.0777092,0.0031822,0.0031822,.,.,37.46875,0.4814816,2.39625,44472.46,1961.68,0.7515241,49042.56,0.0856217,25.3387,2.3873717,74.00852,6,6.4026596,0.92125165,11.848034,7.2244797,931.0548,77.5879
36003,2009,4,8800.797,.,0.2064802,0.1287644,0.0777158,0.0031822,0.0031822,.,.,37.46875,0.4814816,2.39625,44472.46,1961.68,0.7515241,49042.56,0.0856217,25.3387,1.4461729,43.38519,12,13.181025,7.2098307,11.848034,7.2244797,931.0548,77.5879
36003,2009,5,10183.69,.,0.238925,0.1489975,0.0899275,0.0031822,0.0031822,.,.,37.46875,0.4814816,2.39625,44472.46,1961.68,0.7515241,49042.56,0.0856217,25.3387,2.8993919,89.88115,13,18.178916,12.576003,11.848034,7.2244797,931.0548,77.5879
36003,2009,6,10751.07,.,0.2522366,0.1572989,0.0949378,0.0031822,0.0031822,.,.,37.46875,0.4814816,2.39625,44472.46,1961.68,0.7515241,49042.56,0.0856217,25.3387,3.9399731,118.1992,11,21.419013,16.492567,11.848034,7.2244797,931.0548,77.5879
36003,2009,7,11818.81,.,0.2772875,0.172921,0.1043665,0.0031822,0.0031822,.,.,37.46875,0.4814816,2.39625,44472.46,1961.68,0.7515241,49042.56,0.0856217,25.3387,3.4756755,107.7459,13,22.111364,17.363927,11.848034,7.2244797,931.0548,77.5879
36003,2009,8,11493.61,.,0.2696576,0.1681629,0.1014948,0.0031822,0.0031822,.,.,37.46875,0.4814816,2.39625,44472.46,1961.68,0.7515241,49042.56,0.0856217,25.3387,5.2084408,161.4617,17,23.938311,19.197389,11.848034,7.2244797,931.0548,77.5879
