"collection","colid","area","lat","lon","elev","MAXCAP","fips","height","normcap"
"reservoir",2070,"525.76796999999999",34.2066,-117.858,"NA",75382896.72,6037,89.0016,44614
"reservoir",2071,"88.059659999999994",34.3067,-117.312,"NA",125777955.6,6071,64.9224,74970
"reservoir",2072,"NA",36.2383,-94.5417,"NA",31083696,5007,28.0416,18300
"reservoir",2073,"164.723364",35.5272,-82.9634,"NA",9522465.6,37087,8.8392,6755
"reservoir",2074,"NA",36.2317,-95.1934,"NA",548281860,40097,28.6512,200300
"reservoir",2075,"NA",35.425,-82.1834,"NA",95027299.2,37161,35.3568,64200
"reservoir",2076,"543.89790000000005",34.1733,-117.88,"NA",41938320,6037,67.6656,27500
"reservoir",2077,"NA",36.2183,-95.9234,"NA",9268368.72,40143,10.668,6445
"reservoir",2078,"2750.5693799999999",36.025,-102.498,"NA",16775328,48205,22.86,11507
"reservoir",2079,"NA",36.18,-97.1784,"NA",30499026.48,40103,19.5072,13530
"reservoir",2080,"611.23764000000006",34.1133,-117.968,"NA",57618317.76,6037,24.9936,32109
"reservoir",2081,"95.829629999999995",36.1817,-96.18,"NA",15665196,40113,19.812,9500
"reservoir",2082,"17.741431500000001",34.2617,-117.167,"NA",69568272,6071,57.912,48000
"reservoir",2083,"NA",35.2772,-81.4529,"NA",65719814.4,37045,28.6512,44400
"reservoir",2084,"287.48889000000003",34.1566,-117.68,"NA",12702377.04,6071,48.768,7703
"reservoir",2085,"NA",36.0666,-91.1417,"NA",20401759.2,5075,14.0208,8963
"reservoir",2086,"160488.7304",36.1514,-96.2514,"NA",2265286020,40143,17.9832,520700
"reservoir",2087,"44832.726900000001",35.6203,-84.7834,"NA",1449339000,47143,32.004,796000
"reservoir",2088,"5120.4102300000004",35.5453,-84.0506,"NA",82313820.84,47123,27.7368,47518
"reservoir",2089,"NA",35.335,-82.1867,"NA",20389424.4,37149,26.5176,13776
"reservoir",2090,"308.20881000000003",35.1116,-111.583,"NA",10607928,4005,10.668,8600
"reservoir",2091,"183.88928999999999",36.135,-97.1917,"NA",146833459.2,40119,21.9456,61500
"reservoir",2092,"NA",35.6619,-85.3592,"NA",14185020,47175,22.86,6100
"reservoir",2093,"NA",36.1283,-94.5634,"NA",60563868,40001,12.192,22450
"reservoir",2094,"82.879679999999993",34.0883,-117.812,"NA",28468718.4,6037,41.148,17190
"reservoir",2096,"NA",36.055,-99.9151,"NA",11101320,40045,12.192,7200
"reservoir",2097,"19683.923999999999",36.0841,-98.6014,"NA",473409624,40011,17.6784,143900
"reservoir",2098,"NA",34.9833,-79.7134,"NA",9991188,37153,8.2296,5000
"reservoir",2099,"217.55915999999999",35.085,-111.527,"NA",25953652.68,4005,9.7536,16576
"reservoir",2100,"914.26647000000003",34.02,-118.053,"NA",82275582.96,6037,16.4592,33935
"reservoir",2101,"NA",35.4925,-83.9795,"NA",77122103.52,47009,70.7136,45774
"reservoir",2102,"NA",36.1,-96.3534,"NA",11101320,40037,15.24,5400
"reservoir",2103,"17689.631700000002",34.9883,-79.88,"NA",119647560,37007,9.144,90000
"reservoir",2104,"4068.8742900000002",35.4533,-83.805,"NA",1779911640,37173,140.208,497000
"reservoir",2105,"665.62743",35.6169,-106.316,"NA",890572560,35043,74.9808,50000
"reservoir",2106,"4164.7039199999999",35.4483,-83.9367,"NA",43307482.8,37075,67.6656,35000
"reservoir",2107,"NA",35.6666,-105.25,"NA",34019378.4,35047,22.86,9400
"reservoir",2108,"108.77958",35.2333,-82.4,"NA",19538323.2,37089,39.624,13200
"reservoir",2109,"455.83823999999998",35.3772,-83.8759,"NA",192422880,37075,60.0456,156000
"reservoir",2110,"NA",35.1083,-81.6234,"NA",11841408,45021,18.288,5800
"reservoir",2111,"7821.7698",35.0217,-81.0084,"NA",347841360,45091,17.3736,249000
"reservoir",2112,"499.86806999999999",33.915,-117.842,"NA",13965460.56,6059,30.1752,6614
"reservoir",2114,"207.97619700000001",35.2533,-83.0995,"NA",7832598,37099,49.6824,6350
"reservoir",2115,"193.73125200000001",35.2408,-83.0728,"NA",42815324.28,37099,62.484,28927
"reservoir",2116,"318.56876999999997",35.9477,-96.2987,"NA",67878404.4,40037,20.1168,6620
"reservoir",2117,"205.645206",35.1083,-82.0167,"NA",39471360,45083,15.24,22400
"reservoir",2118,"39.367848000000002",35.2217,-83,"NA",12408808.8,37099,51.816,10060
"reservoir",2119,"NA",35.68,-88.28,"NA",11594712,47077,10.0584,7560
"reservoir",2120,"520.58798999999999",35.3086,-108.111,"NA",65096907,35031,26.5176,38500
"reservoir",2121,"NA",35.1416,-82.4034,"NA",87922454.4,45045,45.72,64800
"reservoir",2122,"4014.4845",35.03,-81.495,"NA",23436120,45021,18.8976,19000
"reservoir",2123,"5863.7373600000001",33.89,-117.643,"NA",387775275,6065,29.5656,198222
"reservoir",2124,"NA",35.6608,-88.4151,"NA",13654623.6,47077,8.5344,7540
"reservoir",2126,"95.829629999999995",35.1961,-83.1525,"NA",86849326.8,37099,42.672,59000
"reservoir",2127,"NA",35.895,-95.795,"NA",14801760,40145,28.956,9000
"reservoir",2128,"NA",35.875,-96.1117,"NA",10237884,40037,19.812,5500
"reservoir",2129,"32354.15508",35.8711,-95.2287,"NA",1584281712,40021,30.1752,365200
"reservoir",2130,"505.04804999999999",35.4653,-86.2467,"NA",156651960,47031,32.6136,66600
"reservoir",2131,"2678.0496600000001",35.395,-106.547,"NA",217339176,35043,39.9288,2000
"reservoir",2132,"214.96916999999999",33.815,-117.765,"NA",30713652,6059,30.48,15600
"reservoir",2133,"20.176022100000001",35.1241,-82.9323,"NA",40495148.4,37175,10.668,30540
"reservoir",2134,"235.68908999999999",35.1989,-83.6517,"NA",169307464.8,37113,73.152,115600
"reservoir",2135,"40165.564919999997",35.7105,-101.551,"NA",2972520280,48233,58.5216,839204
"reservoir",2136,"NA",34.8333,-80.6934,"NA",7437884.4,37179,9.4488,5020
"reservoir",2137,"38.849850000000004",35.0633,-82.6717,"NA",37004400,45077,44.5008,29200
"reservoir",2138,"163.16936999999999",33.785,-117.723,"NA",47365632,6059,35.3568,25000
"reservoir",2139,"103.5996",33.8333,-117.46,"NA",274325952,6065,80.4672,182000
"reservoir",2141,"NA",35.7966,-96.5167,"NA",18112420.32,40037,22.2504,8800
"reservoir",2142,"NA",34.98,-82.1951,"NA",15103962.6,45083,13.1064,5755
"reservoir",2143,"NA",33.8583,-117.183,"NA",191006845,6065,36.576,131452
"reservoir",2144,"NA",34.6016,-112.445,"NA",9621144,4025,19.812,5980
"reservoir",2145,"NA",34.7617,-111.223,"NA",10854624,4005,7.9248,5550
"reservoir",2146,"2636.6098200000001",35.1678,-84.297,"NA",85110120,37039,43.2816,57800
"reservoir",2147,"13532.697749999999",34.4042,-78.2939,"NA",24669600,37017,6.4008,5000
"reservoir",2148,"2507.1103199999998",35.1516,-84.1784,"NA",535330320,37039,90.2208,128000
"reservoir",2149,"681.16737000000001",35.2983,-86.0967,"NA",125622537.1,47051,22.86,77915
"reservoir",2150,"NA",34.3,-114.167,"NA",10977972,6071,38.4048,6300
